SOURCE	TARGET	count
S100A12+ Mac_RA_BT	GNLY+ NK_RA_AT	58
S100A12+ Mac_RA_BT	Naive T_RA_AT	48
S100A12+ Mac_RA_BT	ZNF683+ CD8+ Trm_RA_AT	50
S100A12+ Mac_RA_BT	Proliferating NK_RA_AT	29
S100A12+ Mac_RA_BT	Treg_RA_AT	56
S100A12+ Mac_RA_BT	CD4+ Tex_RA_AT	65
S100A12+ Mac_RA_BT	GZMK+ CD8+ Tem2_RA_AT	39
S100A12+ Mac_RA_BT	GZMK+ CD8+ Tem1_RA_AT	45
S100A12+ Mac_RA_BT	Proliferating CD8+ T_RA_AT	72
S100A12+ Mac_RA_BT	GZMK+ CD8+ NKTem_RA_AT	37
IEG Mac_RA_BT	SPP1+ Mac_OA_BT	52
IEG Mac_RA_BT	C1QC+ Mac_OA_BT	71
IEG Mac_RA_BT	S100A12+ Mac_OA_BT	27
IEG Mac_RA_BT	IEG Mac_OA_BT	17
IEG Mac_RA_BT	Mac_OA_BT	15
IEG Mac_RA_BT	CCL4+ Mac_OA_BT	9
IEG Mac_RA_BT	SPP1+ Mac_RA_BT	144
IEG Mac_RA_BT	S100A12+ Mac_RA_BT	130
IEG Mac_RA_BT	IEG Mac_RA_BT	56
IEG Mac_RA_BT	Mac_RA_BT	87
IEG Mac_RA_BT	C1QC+ Mac_RA_BT	99
IEG Mac_RA_BT	CCL4+ Mac_RA_BT	133
IEG Mac_RA_BT	Mac_RA_AT	69
IEG Mac_RA_BT	C1QC+ Mac_RA_AT	111
IEG Mac_RA_BT	SPP1+ Mac_RA_AT	118
IEG Mac_RA_BT	S100A12+ Mac_RA_AT	115
IEG Mac_RA_BT	IEG Mac_RA_AT	76
IEG Mac_RA_BT	CCL4+ Mac_RA_AT	126
IEG Mac_RA_BT	ZNF683+ CD8+ Trm_OA_BT	27
IEG Mac_RA_BT	GZMK+ CD8+ NKTem_OA_BT	35
IEG Mac_RA_BT	GNLY+ NK_OA_BT	22
IEG Mac_RA_BT	Naive T_OA_BT	28
IEG Mac_RA_BT	GZMK+ CD8+ Tem2_OA_BT	20
IEG Mac_RA_BT	GZMK+ CD8+ Tem1_OA_BT	24
IEG Mac_RA_BT	Proliferating CD8+ T_OA_BT	50
IEG Mac_RA_BT	CD4+ Tex_OA_BT	28
IEG Mac_RA_BT	Treg_OA_BT	16
IEG Mac_RA_BT	Proliferating NK_OA_BT	31
IEG Mac_RA_BT	Naive T_RA_BT	57
IEG Mac_RA_BT	Treg_RA_BT	50
IEG Mac_RA_BT	CD4+ Tex_RA_BT	60
IEG Mac_RA_BT	GZMK+ CD8+ Tem2_RA_BT	54
IEG Mac_RA_BT	GNLY+ NK_RA_BT	62
IEG Mac_RA_BT	ZNF683+ CD8+ Trm_RA_BT	61
